FILE_ID,LOAD_TIMESTAMP,ENTRY_NUMBER,ENTRY_DATE,LINE_NO,PART_NO,HTS,COUNTRY_OF_ORIGIN,VALUE,DUTY,ANTIDUMPING,COUNTERVAILING
EXP_00000092,2026-03-09 13:02:52,530-5787306-4,02/24/2026,6,UNKNOWN-PART-670,8482.50.00.00,China,4087.44,102.19,NO,NO
EXP_00000093,2026-03-09 13:02:52,530-5787306-4,02/24/2026,7,TEST29965,9999.99.99.99,China,258.25,12.91,YES,NO
EXP_00000094,2026-03-09 13:02:52,530-5787306-4,02/24/2026,8,E722346,8411.81.00.00,China,243615.97,12180.8,YES,NO
EXP_00000095,2026-03-09 13:02:52,487-2298299-6,10/25/2025,1,INVALID-9389,8421.31.00.00,United States,7257.27,0.0,NO,NO
EXP_00000096,2026-03-09 13:02:52,487-2298299-6,10/25/2025,2,33-167438,8708.91.90.30,United States,578.55,0.0,NO,NO
EXP_00000097,2026-03-09 13:02:52,487-2298299-6,10/25/2025,3,86-263691,8511.10.00.00,China,30950.71,1547.54,NO,YES
EXP_00000098,2026-03-09 13:02:52,487-2298299-6,10/25/2025,4,80-921144,8482.10.10.50,Mexico,57854.78,0.0,NO,NO
EXP_00000099,2026-03-09 13:02:52,362-9629591-4,12/25/2025,1,E910226,8408.20.10.00,China,237.45,11.87,NO,NO
EXP_00000100,2026-03-09 13:02:52,362-9629591-4,12/25/2025,2,SO31635,8537.10.18.00,United States,59604.07,0.0,NO,NO
EXP_00000101,2026-03-09 13:02:52,362-9629591-4,12/25/2025,3,SO99714,8483.30.10.00,India,426.46,31.98,NO,NO
EXP_00000102,2026-03-09 13:02:52,362-9629591-4,12/25/2025,4,46-949103,8511.10.00.00,United States,1533.83,0.0,NO,NO
EXP_00000103,2026-03-09 13:02:52,362-9629591-4,12/25/2025,5,E975314,8536.50.10.00,India,585.7,29.29,NO,NO
EXP_00000104,2026-03-09 13:02:52,362-9629591-4,12/25/2025,6,25-687369,8708.30.90.10,United States,527.76,0.0,NO,NO
EXP_00000105,2026-03-09 13:02:52,362-9629591-4,12/25/2025,7,SO13217,8483.90.90.10,Mexico,80794.61,8079.46,NO,NO
EXP_00000106,2026-03-09 13:02:52,362-9629591-4,12/25/2025,8,SO43126,8413.30.20.00,China,205902.59,15442.69,NO,NO
EXP_00000107,2026-03-09 13:02:52,362-9629591-4,12/25/2025,9,E325896,8302.49.80.90,China,3553.79,0.0,YES,NO
EXP_00000108,2026-03-09 13:02:52,362-9629591-4,12/25/2025,10,CONNECTING ROD,8421.31.00.00,Mexico,688.08,0.0,,YES
EXP_00000109,2026-03-09 13:02:52,362-9629591-4,12/25/2025,11,98-759250,8503.00.95.80,China,278.19,20.86,YES,NO
EXP_00000110,2026-03-09 13:02:52,362-9629591-4,12/25/2025,12,93-903331,8421.23.00.00,Mexico,652.65,48.95,NO,NO
EXP_00000111,2026-03-09 13:02:52,362-9629591-4,12/25/2025,13,E731422,4104.30.77.62,Mexico,478.09,23.9,NO,NO
EXP_00000112,2026-03-09 13:02:52,362-9629591-4,12/25/2025,14,27-589686,8414.59.20.00,China,7463.43,0.0,NO,NO
EXP_00000113,2026-03-09 13:02:52,362-9629591-4,12/25/2025,15,35-490942,8538.90.10.00,United States,53365.16,0.0,NO,NO
EXP_00000114,2026-03-09 13:02:52,183-6948501-3,11/10/2025,1,CONNECTING ROD,8708.70.90.00,Mexico,6735.92,168.4,NO,NO
EXP_00000115,2026-03-09 13:02:52,183-6948501-3,11/10/2025,2,E504247,8501.32.00.00,United States,72911.85,0.0,NO,NO
EXP_00000116,2026-03-09 13:02:52,183-6948501-3,11/10/2025,3,80-532682,8411.99.00.00,China,8539.74,1280.96,NO,YES
EXP_00000117,2026-03-09 13:02:52,183-6948501-3,11/10/2025,4,SO28916,8421.23.00.00,China,75786.27,5683.97,NO,NO
EXP_00000118,2026-03-09 13:02:52,994-9888091-1,02/22/2026,1,SO52659,8537.10.18.00,India,5174.98,0.0,NO,NO
EXP_00000119,2026-03-09 13:02:52,208-7831591-1,03/11/2026,1,45-823220,8481.80.25.96,China,745.3,37.26,,
EXP_00000120,2026-03-09 13:02:52,208-7831591-1,03/11/2026,2,20-465175,8481.80.25.00,China,384.31,38.43,NO,NO
EXP_00000121,2026-03-09 13:02:52,208-7831591-1,03/11/2026,3,XX939118,8708.30.90.10,China,9999.3,749.95,NO,NO
EXP_00000122,2026-03-09 13:02:52,208-7831591-1,03/11/2026,4,11-739497,8302.42.30.93,China,992.06,0.0,NO,NO
EXP_00000123,2026-03-09 13:02:52,208-7831591-1,03/11/2026,5,90-848075,8414.59.20.00,United States,4266.2,0.0,NO,NO
EXP_00000124,2026-03-09 13:02:52,208-7831591-1,03/11/2026,6,78-906637,8708.40.90.00,China,126.26,0.0,NO,YES
EXP_00000125,2026-03-09 13:02:52,881-6513011-6,12/13/2025,1,TEST61173,8708.95.90.00,China,1096.53,164.48,NO,NO
EXP_00000126,2026-03-09 13:02:52,881-6513011-6,12/13/2025,2,INJECTOR NOZZLE,8538.90.10.00,China,493026.16,24651.31,NO,NO
EXP_00000127,2026-03-09 13:02:52,881-6513011-6,12/13/2025,3,64-668153,8511.10.00.00,China,42962.24,0.0,NO,NO
EXP_00000128,2026-03-09 13:02:52,881-6513011-6,12/13/2025,4,SO33953,8409.91.99.90,China,50.24,0.0,NO,YES
EXP_00000129,2026-03-09 13:02:52,881-6513011-6,12/13/2025,5,84-898940,4888.21.22.12,Mexico,801.29,20.03,NO,NO
EXP_00000130,2026-03-09 13:02:52,786-7594924-7,10/26/2025,1,TEST25651,8511.10.00.00,China,258374.79,12918.74,NO,NO
EXP_00000131,2026-03-09 13:02:52,786-7594924-7,10/26/2025,2,40-302477,8511.50.90.00,United States,9836.2,0.0,NO,NO
EXP_00000132,2026-03-09 13:02:52,786-7594924-7,10/26/2025,3,E800836,8414.80.22.00,Mexico,56769.69,5676.97,NO,NO
EXP_00000133,2026-03-09 13:02:52,786-7594924-7,10/26/2025,4,E721770,8536.50.90.00,China,41000.3,0.0,NO,NO
EXP_00000134,2026-03-09 13:02:52,786-7594924-7,10/26/2025,5,E277652,8501.20.10.00,India,2716.77,407.52,NO,NO
EXP_00000135,2026-03-09 13:02:52,441-6199128-4,03/06/2026,1,E833644,8501.32.00.00,United States,25589.44,0.0,NO,NO
EXP_00000136,2026-03-09 13:02:52,441-6199128-4,03/06/2026,2,SO58249,9999.99.99.99,Mexico,99.5,9.95,NO,NO
EXP_00000137,2026-03-09 13:02:52,441-6199128-4,03/06/2026,3,XX273053,8708.80.90.00,China,9304.13,0.0,,YES
EXP_00000138,2026-03-09 13:02:52,441-6199128-4,03/06/2026,4,SO76915,7171.81.37.23,China,953.95,95.4,YES,YES
EXP_00000139,2026-03-09 13:02:52,441-6199128-4,03/06/2026,5,SO35848,9999.99.99.99,Mexico,2048.93,51.22,NO,NO
EXP_00000140,2026-03-09 13:02:52,441-6199128-4,03/06/2026,6,77-804267,8414.30.10.00,United States,213828.39,0.0,NO,NO
EXP_00000141,2026-03-09 13:02:52,441-6199128-4,03/06/2026,7,14-879747,8301.60.00.00,Mexico,5617.83,842.67,NO,NO
EXP_00000142,2026-03-09 13:02:52,441-6199128-4,03/06/2026,8,48-953786,8302.49.80.90,China,674.89,0.0,YES,
EXP_00000143,2026-03-09 13:02:52,264-3937435-2,10/26/2025,1,E912825,8481.80.25.00,China,2336.96,58.42,NO,NO
EXP_00000144,2026-03-09 13:02:52,264-3937435-2,10/26/2025,2,26-534466,8409.91.10.00,United States,299.06,0.0,NO,NO
EXP_00000145,2026-03-09 13:02:52,264-3937435-2,10/26/2025,3,20-244716,8708.95.90.00,China,194.41,4.86,NO,NO
EXP_00000146,2026-03-09 13:02:52,264-3937435-2,10/26/2025,4,97-887812,8413.30.90.30,China,44729.2,6709.38,NO,YES
EXP_00000147,2026-03-09 13:02:52,264-3937435-2,10/26/2025,5,TEST34982,8408.20.90.20,United States,6678.6,0.0,NO,NO
EXP_00000148,2026-03-09 13:02:52,264-3937435-2,10/26/2025,6,E266862,8708.80.90.00,Mexico,192.17,19.22,NO,NO
EXP_00000149,2026-03-09 13:02:52,264-3937435-2,10/26/2025,7,E406724,9999.99.99.99,India,49248.74,4924.87,NO,YES
EXP_00000150,2026-03-09 13:02:52,891-2440379-8,01/17/2026,1,TEST67015,8421.31.00.54,China,114.13,0.0,YES,YES
EXP_00000151,2026-03-09 13:02:52,891-2440379-8,01/17/2026,2,E895255,8414.80.22.00,China,7554.15,1888.54,NO,NO
EXP_00000152,2026-03-09 13:02:52,891-2440379-8,01/17/2026,3,SO98188,8301.40.90.00,United States,126.73,0.0,NO,NO
EXP_00000153,2026-03-09 13:02:52,891-2440379-8,01/17/2026,4,CRANKSHAFT,8708.99.91.90,India,52188.56,0.0,NO,YES
EXP_00000154,2026-03-09 13:02:52,891-2440379-8,01/17/2026,5,OIL COOLER,8408.20.10.00,Mexico,111.98,5.6,NO,NO
EXP_00000155,2026-03-09 13:02:52,891-2440379-8,01/17/2026,6,E481818,8421.31.00.00,United States,3653.13,0.0,NO,NO
EXP_00000156,2026-03-09 13:02:52,512-7365653-8,12/26/2025,1,TEST36224,8503.00.10.00,China,1718.53,0.0,YES,NO
EXP_00000157,2026-03-09 13:02:52,512-7365653-8,12/26/2025,2,WATER PUMP,9999.99.99.99,India,448317.3,33623.8,NO,YES
EXP_00000158,2026-03-09 13:02:52,512-7365653-8,12/26/2025,3,FLYWHEEL ASSY,8481.80.25.00,China,8353.88,2088.47,NO,NO
EXP_00000159,2026-03-09 13:02:52,512-7365653-8,12/26/2025,4,SO74209,8537.10.18.00,China,276895.99,13844.8,NO,NO
EXP_00000160,2026-03-09 13:02:52,512-7365653-8,12/26/2025,5,E830134,8708.99.91.90,China,2800.6,70.02,NO,NO
EXP_00000161,2026-03-09 13:02:52,512-7365653-8,12/26/2025,6,E707976,8484.20.00.00,Mexico,383838.43,28787.88,NO,NO
EXP_00000162,2026-03-09 13:02:52,512-7365653-8,12/26/2025,7,E502804,8408.20.10.00,United States,2645.75,0.0,NO,NO
EXP_00000163,2026-03-09 13:02:52,512-7365653-8,12/26/2025,8,SO47286,8421.23.00.00,Mexico,389498.12,19474.91,,YES
EXP_00000164,2026-03-09 13:02:52,512-7365653-8,12/26/2025,9,SO79107,8708.99.15.00,Mexico,8482.37,636.18,NO,NO
EXP_00000165,2026-03-09 13:02:52,151-4140138-2,01/08/2026,1,FUEL FILTER ASSY,8408.20.90.90,China,94536.66,9453.67,NO,NO
EXP_00000166,2026-03-09 13:02:52,151-4140138-2,01/08/2026,2,E684852,8408.20.90.20,United States,195.54,0.0,NO,NO
EXP_00000167,2026-03-09 13:02:52,536-1724786-2,11/03/2025,1,83-165030,8482.50.00.00,China,9012.43,0.0,YES,NO
EXP_00000168,2026-03-09 13:02:52,536-1724786-2,11/03/2025,2,72-458924,8481.20.10.00,China,46521.44,4652.14,YES,NO
EXP_00000169,2026-03-09 13:02:52,536-1724786-2,11/03/2025,3,33-582099,8511.40.00.00,China,7273.54,363.68,NO,NO
EXP_00000170,2026-03-09 13:02:52,536-1724786-2,11/03/2025,4,26-874534,8411.99.00.00,Mexico,144.26,0.0,NO,NO
EXP_00000171,2026-03-09 13:02:52,536-1724786-2,11/03/2025,5,UNKNOWN-PART-354,8536.50.90.00,United States,3179.14,0.0,NO,NO
EXP_00000172,2026-03-09 13:02:52,536-1724786-2,11/03/2025,6,SO21310,8414.59.20.00,India,475.46,11.89,NO,NO
EXP_00000173,2026-03-09 13:02:52,536-1724786-2,11/03/2025,7,42-527522,8511.10.00.00,India,99859.77,4992.99,NO,YES
EXP_00000174,2026-03-09 13:02:52,536-1724786-2,11/03/2025,8,31-481892,8421.23.00.00,Mexico,498.99,49.9,NO,NO
EXP_00000175,2026-03-09 13:02:52,536-1724786-2,11/03/2025,9,SO88134,8421.31.00.32,Mexico,781.98,117.3,NO,
EXP_00000176,2026-03-09 13:02:52,536-1724786-2,11/03/2025,10,79-110312,8538.90.10.00,China,8294.11,622.06,NO,YES
EXP_00000177,2026-03-09 13:02:52,536-1724786-2,11/03/2025,11,XX822194,8536.50.90.00,Mexico,5844.88,292.24,NO,NO
EXP_00000178,2026-03-09 13:02:52,536-1724786-2,11/03/2025,12,E911352,8708.40.90.00,China,9141.17,1371.18,NO,NO
EXP_00000179,2026-03-09 13:02:52,770-4388597-5,10/17/2025,1,SO94086,8708.99.91.35,United States,2015.01,0.0,NO,NO
EXP_00000180,2026-03-09 13:02:52,770-4388597-5,10/17/2025,2,E903672,8501.10.10.00,United States,68166.97,0.0,NO,NO
EXP_00000181,2026-03-09 13:02:52,770-4388597-5,10/17/2025,3,SO92666,8481.20.10.00,China,4092.51,204.63,,NO
EXP_00000182,2026-03-09 13:02:52,770-4388597-5,10/17/2025,4,54-226569,8708.70.90.00,United States,65267.23,0.0,NO,NO
EXP_00000183,2026-03-09 13:02:52,888-7651674-7,03/11/2026,1,E615916,8708.95.90.00,Mexico,168.36,4.21,,
EXP_00000184,2026-03-09 13:02:52,888-7651674-7,03/11/2026,2,INJECTOR NOZZLE,8503.00.10.00,Mexico,3099.4,232.46,,NO
EXP_00000185,2026-03-09 13:02:52,888-7651674-7,03/11/2026,3,XX663381,8536.50.90.00,United States,3593.94,0.0,NO,NO
EXP_00000186,2026-03-09 13:02:52,888-7651674-7,03/11/2026,4,31-930581,8415.81.00.10,China,62623.01,15655.75,YES,NO
EXP_00000187,2026-03-09 13:02:52,888-7651674-7,03/11/2026,5,E854805,8302.49.80.90,Mexico,2543.84,254.38,NO,NO
EXP_00000188,2026-03-09 13:02:52,888-7651674-7,03/11/2026,6,29-817584,8708.70.90.00,China,75714.46,5678.58,NO,NO
EXP_00000189,2026-03-09 13:02:52,888-7651674-7,03/11/2026,7,E396809,8538.90.10.97,China,9266.38,463.32,NO,NO
EXP_00000190,2026-03-09 13:02:52,888-7651674-7,03/11/2026,8,SO96370,8481.80.25.00,China,6143.3,614.33,NO,NO
EXP_00000191,2026-03-09 13:02:52,888-7651674-7,03/11/2026,9,E626001,8511.10.00.00,China,6248.84,0.0,NO,NO
EXP_00000192,2026-03-09 13:02:52,888-7651674-7,03/11/2026,10,E960655,8511.40.00.00,China,4395.15,219.76,NO,NO
EXP_00000193,2026-03-09 13:02:52,888-7651674-7,03/11/2026,11,56-861862,8537.10.18.00,China,3644.59,0.0,NO,NO
EXP_00000194,2026-03-09 13:02:52,888-7651674-7,03/11/2026,12,SO89755,8421.23.00.00,China,8960.13,672.01,NO,
EXP_00000195,2026-03-09 13:02:52,262-5896407-3,11/16/2025,1,E961348,8708.95.90.00,United States,50933.61,0.0,NO,NO
EXP_00000196,2026-03-09 13:02:52,262-5896407-3,11/16/2025,2,74-435217,9999.99.99.99,Mexico,4395.49,329.66,NO,NO
