DATEI_ID,LADEN_ZEIT,EINTRITTSNUMMER,EINTRITTSDATUM,ZEILE,TEILENUMMER,ZOLLTARIFNUMMER,URSPRUNGSLAND,WARENWERT,ZOLLBETRAG,ANTIDUMPING_ZOLL,AUSGLEICHSZOLL
KN_00000048,09.03.2026 13:01:38,DE-2025-395828,03.02.2026,8,14-821940,8421 2300 00,KOR,"33.987,18","5.098,07",NEIN,NEIN
KN_00000049,09.03.2026 13:01:38,DE-2025-395828,03.02.2026,9,10-785780,8545 1010 50,IND,"2.009,44","200,93",NEIN,NEIN
KN_00000050,09.03.2026 13:01:38,DE-2025-395828,03.02.2026,10,SO54102,8484 1000 90,USA,"3.958,42","0,00",NEIN,NEIN
KN_00000051,09.03.2026 13:01:38,DE-2025-395828,03.02.2026,11,SO36075,8421 3100 00,CHN,"7.119,35","533,95",JA,NEIN
KN_00000052,09.03.2026 13:01:38,DE-2025-395828,03.02.2026,12,UNBEKANNT-TEIL-202,8605 5090 00,USA,"964,07","0,00",NEIN,NEIN
KN_00000053,09.03.2026 13:01:38,DE-2025-395828,03.02.2026,13,SO52002,5678 9290 74,CHN,"774,40","58,07",NEIN,NEIN
KN_00000054,09.03.2026 13:01:38,DE-2025-395828,03.02.2026,14,XX977694,8501 2010 00,USA,"6.718,14","0,00",NEIN,NEIN
KN_00000055,09.03.2026 13:01:38,DE-2025-395828,03.02.2026,15,97-889668,8708 9991 90,TWN,"17.386,02","4.346,50",NEIN,NEIN
KN_00000056,09.03.2026 13:01:38,DE-2025-395828,03.02.2026,16,VENTILFEDER,8708 9190 00,MEX,"64.940,97","1.623,51",NEIN,NEIN
KN_00000057,09.03.2026 13:01:38,DE-2025-395828,03.02.2026,17,54-855371,8483 3010 00,KOR,"51,52","1,29",NEIN,
KN_00000058,09.03.2026 13:01:38,DE-2025-441017,10.03.2026,1,SO74372,8524 4000 00,CHN,"38.714,29","967,86",NEIN,NEIN
KN_00000059,09.03.2026 13:01:38,DE-2025-441017,10.03.2026,2,SO66831,8708 9991 90,CHN,"6.983,46","349,17",NEIN,NEIN
KN_00000060,09.03.2026 13:01:38,DE-2025-441017,10.03.2026,3,SO77370,8562 9090 10,CHN,"99.293,00","9.929,29",NEIN,NEIN
KN_00000061,09.03.2026 13:01:38,DE-2025-441017,10.03.2026,4,54-751406,8536 5090 00,USA,"9.830,00","0,00",NEIN,NEIN
KN_00000062,09.03.2026 13:01:38,DE-2025-441017,10.03.2026,5,69-831523,8511 2010 00,IND,"785,87","39,28",NEIN,JA
KN_00000063,09.03.2026 13:01:38,DE-2025-441017,10.03.2026,6,90-500085,8503 0095 80,POL,"42.690,84","2.134,53",NEIN,NEIN
KN_00000064,09.03.2026 13:01:38,DE-2025-441017,10.03.2026,7,TEST38155,8511 5090 00,CHN,"908,02","227,00",NEIN,NEIN
KN_00000065,09.03.2026 13:01:38,DE-2025-441017,10.03.2026,8,TEST22085,9999 6337 62,KOR,"7.250,43","362,51",NEIN,NEIN
KN_00000066,09.03.2026 13:01:38,DE-2025-441017,10.03.2026,9,E187159,8408 2090 90,MEX,"329.116,29","8.227,90",NEIN,NEIN
KN_00000067,09.03.2026 13:01:38,DE-2025-441017,10.03.2026,10,86-325782,8503 0010 00,CHN,"225,43","5,63",NEIN,NEIN
KN_00000068,09.03.2026 13:01:38,DE-2025-441017,10.03.2026,11,E143503,8483 9090 10,MEX,"6.841,13","342,06",NEIN,NEIN
KN_00000069,09.03.2026 13:01:38,DE-2025-441017,10.03.2026,12,E458081,8409 9199 90,CHN,"2.916,13","72,90",NEIN,NEIN
KN_00000070,09.03.2026 13:01:38,DE-2025-441017,10.03.2026,13,E649234,8421 2300 00,MEX,"131.683,70","0,00",NEIN,NEIN
KN_00000071,09.03.2026 13:01:38,DE-2025-441017,10.03.2026,14,E653066,8536 5010 00,MEX,"9.717,23","242,93",NEIN,NEIN
KN_00000072,09.03.2026 13:01:38,DE-2025-441017,10.03.2026,15,E313676,8481 2010 00,IND,"231.665,07","17.374,88",NEIN,NEIN
KN_00000073,09.03.2026 13:01:38,DE-2025-441017,10.03.2026,16,51-802811,8544 3000 00,CHN,"4.222,81","633,41",JA,NEIN
KN_00000074,09.03.2026 13:01:38,DE-2025-441017,10.03.2026,17,E496484,8708 5079 00,MEX,"1.424,21","71,20",NEIN,NEIN
KN_00000075,09.03.2026 13:01:38,DE-2025-642524,18.01.2026,1,SO73649,8532 2010 00,MEX,"166.165,07","16.616,50",NEIN,NEIN
KN_00000076,09.03.2026 13:01:38,DE-2025-642524,18.01.2026,2,SO60386,8483 1010 10,CZE,"5.813,86","290,68",NEIN,NEIN
KN_00000077,09.03.2026 13:01:38,DE-2025-642524,18.01.2026,3,37-673227,8483 3010 00,TWN,"3.722,07","93,04",,JA
KN_00000078,09.03.2026 13:01:38,DE-2025-642524,18.01.2026,4,SO27045,5678 1782 73,USA,"3.793,48","0,00",NEIN,NEIN
KN_00000079,09.03.2026 13:01:38,DE-2025-642524,18.01.2026,5,87-470843,8708 7090 00,CHN,"732,88","73,29",NEIN,NEIN
KN_00000080,09.03.2026 13:01:38,DE-2025-642524,18.01.2026,6,SO40569,8481 8025 00,IND,"4.974,67","497,47",NEIN,NEIN
KN_00000081,09.03.2026 13:01:38,DE-2025-642524,18.01.2026,7,SO41192,0000 7593 93,CHN,"4.084,55","0,00",JA,NEIN
KN_00000082,09.03.2026 13:01:38,DE-2025-642524,18.01.2026,8,86-305015,8544 3000 00,CHN,"26.739,06","1.336,95",JA,NEIN
KN_00000083,09.03.2026 13:01:38,DE-2025-642524,18.01.2026,9,SO75349,8307 1010 00,IND,"544,66","54,46",NEIN,NEIN
KN_00000084,09.03.2026 13:01:38,DE-2025-642524,18.01.2026,10,E421160,8501 3200 00,IND,"23.020,72","5.755,18",NEIN,JA
KN_00000085,09.03.2026 13:01:38,DE-2025-774932,17.02.2026,1,56-919754,8708 3090 10,MEX,"14.291,12","1.429,10",NEIN,NEIN
KN_00000086,09.03.2026 13:01:38,DE-2025-774932,17.02.2026,2,TEST13279,8538 9010 00,IND,"11.250,20","2.812,55",NEIN,JA
KN_00000087,09.03.2026 13:01:38,DE-2025-774932,17.02.2026,3,TEST24986,8302 4980 90,MEX,"188,00","47,00",NEIN,NEIN
KN_00000088,09.03.2026 13:01:38,DE-2025-774932,17.02.2026,4,SO18788,5678 7407 89,CHN,"712,95","53,46",NEIN,NEIN
KN_00000089,09.03.2026 13:01:38,DE-2025-774932,17.02.2026,5,SO19840,8511 2010 00,MEX,"983,29","73,75",NEIN,NEIN
KN_00000090,09.03.2026 13:01:38,DE-2025-774932,17.02.2026,6,55-180484,8411 9900 00,CZE,"4.884,21","244,21",NEIN,NEIN
KN_00000091,09.03.2026 13:01:38,DE-2025-774932,17.02.2026,7,53-410833,8536 5090 00,IND,"4.742,40","118,56",NEIN,NEIN
KN_00000092,09.03.2026 13:01:38,DE-2025-774932,17.02.2026,8,E999584,8538 9010 00,CHN,"3.923,42","294,25",JA,NEIN
KN_00000093,09.03.2026 13:01:38,DE-2025-774932,17.02.2026,9,SO47732,8302 4100 00,CHN,"66.170,89","4.962,81",NEIN,NEIN
KN_00000094,09.03.2026 13:01:38,DE-2025-774932,17.02.2026,10,TEST48689,8413 3090 10,CHN,"53.725,01","5.372,50",NEIN,JA
KN_00000095,09.03.2026 13:01:38,DE-2025-774932,17.02.2026,11,ANLASSER,8413 3020 00,TWN,"7.015,80","175,40",NEIN,NEIN
KN_00000096,09.03.2026 13:01:38,DE-2025-774932,17.02.2026,12,E702291,8483 3010 00,CHN,"70.931,97","0,00",NEIN,NEIN
KN_00000097,09.03.2026 13:01:38,DE-2025-774932,17.02.2026,13,E807199,8483 1010 10,USA,"924,76","0,00",NEIN,NEIN
KN_00000098,09.03.2026 13:01:38,DE-2025-774932,17.02.2026,14,76-838895,8708 3021 00,MEX,"28.501,09","712,52",NEIN,NEIN
KN_00000099,09.03.2026 13:01:38,DE-2025-774932,17.02.2026,15,E112261,8482 1010 50,MEX,"127,98","12,80",NEIN,NEIN
KN_00000100,09.03.2026 13:01:38,DE-2025-774932,17.02.2026,16,E119944,8408 2010 00,USA,"742,03","0,00",NEIN,NEIN
KN_00000101,09.03.2026 13:01:38,DE-2025-195645,21.01.2026,1,E341461,8302 4200 00,TWN,"9.838,48","491,92",NEIN,NEIN
KN_00000102,09.03.2026 13:01:38,DE-2025-195645,21.01.2026,2,SO15393,8482 1010 50,USA,"397,02","0,00",NEIN,NEIN
KN_00000103,09.03.2026 13:01:38,DE-2025-195645,21.01.2026,3,E250586,0000 1127 89,KOR,"414.162,15","31.062,15",NEIN,NEIN
KN_00000104,09.03.2026 13:01:38,DE-2025-195645,21.01.2026,4,SO37525,8503 0010 00,KOR,"716,50","107,48",NEIN,NEIN
KN_00000105,09.03.2026 13:01:38,DE-2025-195645,21.01.2026,5,86-740651,8302 4100 00,MEX,"30.001,61","4.500,23",NEIN,NEIN
KN_00000106,09.03.2026 13:01:38,DE-2025-195645,21.01.2026,6,LICHTMASCHINE,8408 2090 90,TWN,"1.237,72","92,82",NEIN,NEIN
KN_00000107,09.03.2026 13:01:38,DE-2025-195645,21.01.2026,7,E895177,8511 2010 00,MEX,"81.691,69","8.169,17",NEIN,NEIN
KN_00000108,09.03.2026 13:01:38,DE-2025-195645,21.01.2026,8,UNGÜLTIG-9189,8409 9110 00,MEX,"747,29","74,73",NEIN,NEIN
KN_00000109,09.03.2026 13:01:38,DE-2025-195645,21.01.2026,9,E729471,8511 3090 00,MEX,"1.421,59","142,15",NEIN,NEIN
KN_00000110,09.03.2026 13:01:38,DE-2025-195645,21.01.2026,10,97-946649,8413 3020 00,KOR,"3.605,94","270,44",JA,NEIN
KN_00000111,09.03.2026 13:01:38,DE-2025-390143,12.03.2026,1,E178800,8503 0010 00,MEX,"74.961,67","1.874,03",NEIN,NEIN
KN_00000112,09.03.2026 13:01:38,DE-2025-390143,12.03.2026,2,E623126,8482 5000 00,CHN,"3.575,98","268,19",NEIN,NEIN
KN_00000113,09.03.2026 13:01:38,DE-2025-390143,12.03.2026,3,30-140209,8302 4100 00,POL,"915,17","45,75",NEIN,NEIN
KN_00000114,09.03.2026 13:01:38,DE-2025-390143,12.03.2026,4,38-698473,8511 4000 00,CHN,"94.465,97","4.723,30",JA,NEIN
KN_00000115,09.03.2026 13:01:38,DE-2025-390143,12.03.2026,5,E691022,8708 4090 00,IND,"1.540,10","38,50",NEIN,NEIN
KN_00000116,09.03.2026 13:01:38,DE-2025-390143,12.03.2026,6,E673082,8511 2010 00,USA,"545,86","0,00",NEIN,NEIN
KN_00000117,09.03.2026 13:01:38,DE-2025-390143,12.03.2026,7,89-139983,8511 1000 00,MEX,"782,98","39,14",NEIN,NEIN
KN_00000118,09.03.2026 13:01:38,DE-2025-390143,12.03.2026,8,81-787612,8505 3100 00,MEX,"2.418,44","0,00",NEIN,NEIN
KN_00000119,09.03.2026 13:01:38,DE-2025-390143,12.03.2026,9,39-366028,0000 9869 55,TWN,"571,05","57,10",NEIN,NEIN
KN_00000120,09.03.2026 13:01:38,DE-2025-502677,06.03.2026,1,SO19652,8408 2090 90,KOR,"71.685,05","17.921,25",JA,NEIN
KN_00000121,09.03.2026 13:01:38,DE-2025-502677,06.03.2026,2,XX766955,8482 5000 00,MEX,"77.449,28","3.872,46",NEIN,NEIN
KN_00000122,09.03.2026 13:01:38,DE-2025-502677,06.03.2026,3,UNBEKANNT-TEIL-229,8708 9590 00,TWN,"1.326,78","66,34",NEIN,NEIN
KN_00000123,09.03.2026 13:01:38,DE-2025-502677,06.03.2026,4,72-982573,8503 0095 80,USA,"530,57","0,00",NEIN,NEIN
KN_00000124,09.03.2026 13:01:38,DE-2025-502677,06.03.2026,5,UNBEKANNT-TEIL-889,8542 1010 00,TWN,"407,54","10,18",NEIN,NEIN
KN_00000125,09.03.2026 13:01:38,DE-2025-502677,06.03.2026,6,31-445976,8408 2090 90,POL,"7.776,97","0,00",NEIN,NEIN
KN_00000126,09.03.2026 13:01:38,DE-2025-502677,06.03.2026,7,59-804194,8423 9110 00,MEX,"30.786,81","4.618,02",NEIN,NEIN
KN_00000127,09.03.2026 13:01:38,DE-2025-502677,06.03.2026,8,SO61473,8708 9991 90,IND,"4.736,02","710,39",NEIN,NEIN
KN_00000128,09.03.2026 13:01:38,DE-2025-502677,06.03.2026,9,SO45184,8708 9915 00,MEX,"55.248,12","0,00",NEIN,NEIN
KN_00000129,09.03.2026 13:01:38,DE-2025-502677,06.03.2026,10,UNBEKANNT-TEIL-266,8408 2090 90,MEX,"2.385,13","0,00",NEIN,NEIN
KN_00000130,09.03.2026 13:01:38,DE-2025-502677,06.03.2026,11,27-155188,8408 2090 20,MEX,"90.286,75","2.257,17",NEIN,NEIN
KN_00000131,09.03.2026 13:01:38,DE-2025-502677,06.03.2026,12,SO90991,0000 4435 33,CHN,"510,77","0,00",NEIN,JA
KN_00000132,09.03.2026 13:01:38,DE-2025-502677,06.03.2026,13,SO20705,8435 2300 00,MEX,"236.680,83","5.917,02",NEIN,NEIN
KN_00000133,09.03.2026 13:01:38,DE-2025-502677,06.03.2026,14,E121847,8708 3090 10,CHN,"527,50","131,87",NEIN,NEIN
KN_00000134,09.03.2026 13:01:38,DE-2025-502677,06.03.2026,15,SO90435,8413 3090 10,KOR,"9.102,37","0,00",JA,NEIN
KN_00000135,09.03.2026 13:01:38,DE-2025-502677,06.03.2026,16,SO82280,8483 1010 10,MEX,"93.493,91","2.337,34",NEIN,NEIN
KN_00000136,09.03.2026 13:01:38,DE-2025-867491,06.02.2026,1,E758484,8483 3010 00,USA,"8.148,78","0,00",NEIN,NEIN
KN_00000137,09.03.2026 13:01:38,DE-2025-867491,06.02.2026,2,SO15376,8414 3010 00,CHN,"58.564,50","4.392,34",NEIN,NEIN
KN_00000138,09.03.2026 13:01:38,DE-2025-192069,10.01.2026,1,E889554,8708 3021 00,KOR,"4.498,82","0,00",NEIN,NEIN
KN_00000139,09.03.2026 13:01:38,DE-2025-192069,10.01.2026,2,TEST65628,8481 8025 00,CHN,"9.261,31","463,06",NEIN,JA
KN_00000140,09.03.2026 13:01:38,DE-2025-192069,10.01.2026,3,22-105523,8483 4020 00,TWN,"6.634,18","331,70",JA,NEIN
KN_00000141,09.03.2026 13:01:38,DE-2025-192069,10.01.2026,4,82-847299,8483 1010 10,TWN,"260,00","6,50",JA,NEIN
KN_00000142,09.03.2026 13:01:38,DE-2025-192069,10.01.2026,5,SO45321,8614 9010 00,TWN,"30.054,72","4.508,21",NEIN,NEIN
KN_00000143,09.03.2026 13:01:38,DE-2025-192069,10.01.2026,6,TEST57202,8538 9010 00,CHN,"65.514,11","3.275,71",NEIN,JA
KN_00000144,09.03.2026 13:01:38,DE-2025-192069,10.01.2026,7,74-621519,8409 9110 00,IND,"890,88","133,62",NEIN,NEIN
KN_00000145,09.03.2026 13:01:38,DE-2025-192069,10.01.2026,8,UNBEKANNT-TEIL-102,8484 1000 90,MEX,"7.482,02","0,00",,JA
KN_00000146,09.03.2026 13:01:38,DE-2025-192069,10.01.2026,9,SO21814,8537 1018 00,MEX,"265.285,61","26.528,56",NEIN,NEIN
KN_00000147,09.03.2026 13:01:38,DE-2025-192069,10.01.2026,10,56-393425,8708 3090 10,MEX,"8.436,69","210,91",NEIN,NEIN
KN_00000148,09.03.2026 13:01:38,DE-2025-192069,10.01.2026,11,XX567165,8447 8100 00,CHN,"90,56","2,25",NEIN,NEIN
KN_00000149,09.03.2026 13:01:38,DE-2025-192069,10.01.2026,12,SO39701,8708 3021 00,MEX,"295,42","14,76",NEIN,NEIN
KN_00000150,09.03.2026 13:01:38,DE-2025-192069,10.01.2026,13,96-343924,9999 7788 38,MEX,"6.974,40","348,72",NEIN,NEIN
KN_00000151,09.03.2026 13:01:38,DE-2025-192069,10.01.2026,14,SO50677,8414 8022 00,POL,"666,51","0,00",NEIN,NEIN
KN_00000152,09.03.2026 13:01:38,DE-2025-192069,10.01.2026,15,SO20732,9999 5285 40,TWN,"4.817,78","240,88",NEIN,NEIN
KN_00000153,09.03.2026 13:01:38,DE-2025-192069,10.01.2026,16,UNGÜLTIG-2190,8536 5090 00,KOR,"464.925,25","0,00",NEIN,NEIN
KN_00000154,09.03.2026 13:01:38,DE-2025-192069,10.01.2026,17,LICHTMASCHINE,8374 4100 00,USA,"1.668,89","0,00",NEIN,NEIN
KN_00000155,09.03.2026 13:01:38,DE-2025-192069,10.01.2026,18,ANLASSER,1234 5612 44,DEU,"295,25","0,00",NEIN,NEIN
KN_00000156,09.03.2026 13:01:38,DE-2025-978035,05.02.2026,1,PLEUELSTANGE,8482 5000 00,MEX,"61.204,40","0,00",NEIN,NEIN
KN_00000157,09.03.2026 13:01:38,DE-2025-978035,05.02.2026,2,ANLASSER,8421 3100 00,MEX,"5.750,98","143,77",NEIN,NEIN
KN_00000158,09.03.2026 13:01:38,DE-2025-978035,05.02.2026,3,SO49582,8537 1018 00,CHN,"6.756,03","0,00",,JA
KN_00000159,09.03.2026 13:01:38,DE-2025-978035,05.02.2026,4,81-780834,8708 8090 00,KOR,"357.350,28","53.602,54",JA,NEIN
KN_00000160,09.03.2026 13:01:38,DE-2025-861929,08.02.2026,1,57-120091,8482 5000 00,MEX,"835,40","83,54",NEIN,NEIN
KN_00000161,09.03.2026 13:01:38,DE-2025-428045,28.02.2026,1,TEST84015,8536 5090 00,CHN,"492,69","36,95",NEIN,NEIN
KN_00000162,09.03.2026 13:01:38,DE-2025-428045,28.02.2026,2,67-995910,9999 6853 27,USA,"553,37","0,00",NEIN,NEIN
KN_00000163,09.03.2026 13:01:38,DE-2025-428045,28.02.2026,3,SO96026,8537 1018 00,MEX,"627,91","0,00",NEIN,NEIN
KN_00000164,09.03.2026 13:01:38,DE-2025-428045,28.02.2026,4,44-118267,8413 3020 00,MEX,"12.830,94","0,00",NEIN,NEIN
KN_00000165,09.03.2026 13:01:38,DE-2025-428045,28.02.2026,5,15-634745,8708 4090 00,MEX,"5.154,15","0,00",NEIN,NEIN
KN_00000166,09.03.2026 13:01:38,DE-2025-428045,28.02.2026,6,E655335,8302 4980 90,USA,"1.976,57","0,00",NEIN,NEIN
KN_00000167,09.03.2026 13:01:38,DE-2025-428045,28.02.2026,7,E580246,8544 3000 00,MEX,"269,19","26,92",NEIN,NEIN
KN_00000168,09.03.2026 13:01:38,DE-2025-428045,28.02.2026,8,63-396819,8544 3000 00,CHN,"4.190,48","419,05",NEIN,NEIN
KN_00000169,09.03.2026 13:01:38,DE-2025-428045,28.02.2026,9,SO17587,8708 8090 00,USA,"22.725,50","0,00",NEIN,NEIN
KN_00000170,09.03.2026 13:01:38,DE-2025-428045,28.02.2026,10,78-894346,8511 1000 00,MEX,"3.777,15","944,28",NEIN,NEIN
KN_00000171,09.03.2026 13:01:38,DE-2025-428045,28.02.2026,11,77-769857,0000 7278 79,IND,"305,26","15,25",NEIN,NEIN
KN_00000172,09.03.2026 13:01:38,DE-2025-428045,28.02.2026,12,SO44029,8482 5000 00,CHN,"2.522,44","126,12",NEIN,NEIN
KN_00000173,09.03.2026 13:01:38,DE-2025-428045,28.02.2026,13,SO17128,8484 2000 00,MEX,"3.181,21","318,12",NEIN,NEIN
KN_00000174,09.03.2026 13:01:38,DE-2025-428045,28.02.2026,14,65-824780,8415 8100 10,KOR,"71,79","3,58",NEIN,NEIN
KN_00000175,09.03.2026 13:01:38,DE-2025-428045,28.02.2026,15,DICHTUNGSSATZ,8414 3010 00,DEU,"13.280,37","0,00",NEIN,NEIN
KN_00000176,09.03.2026 13:01:38,DE-2025-428045,28.02.2026,16,UNBEKANNT-TEIL-253,8708 4090 00,USA,"141,90","0,00",NEIN,NEIN
KN_00000177,09.03.2026 13:01:38,DE-2025-751339,12.01.2026,1,SO89680,8415 8100 10,CHN,"90.083,53","6.756,27",NEIN,NEIN
KN_00000178,09.03.2026 13:01:38,DE-2025-751339,12.01.2026,2,TEST41059,8483 3010 00,TWN,"999,42","99,93",NEIN,NEIN
KN_00000179,09.03.2026 13:01:38,DE-2025-751339,12.01.2026,3,62-496080,8708 9915 00,CHN,"8.278,29","413,92",NEIN,NEIN
KN_00000180,09.03.2026 13:01:38,DE-2025-751339,12.01.2026,4,EINSPRITZDÜSE,8721 9915 00,MEX,"9.242,84","462,13",NEIN,NEIN
KN_00000181,09.03.2026 13:01:38,DE-2025-751339,12.01.2026,5,ÖLKÜHLER,8501 3200 00,CHN,"1.753,94","175,38",,
