CASE_ID,COO,HTS_CODE,ADD_ORDER_NUMBER,CVD_ORDER_NUMBER,ADD_RATE,CVD_RATE,EFFECTIVE_DATE,STATUS
IN-8708-920,IN,8708921000,A-533-920,C-533-920,25.0,150.0,2023-06-19,REVOKED
IN-8503-921,IN,8503009900,A-533-921,C-533-921,50.0,5.0,2020-01-26,ACTIVE
IN-8503-922,IN,8503009900,A-533-922,C-533-922,150.0,5.0,2018-01-08,ACTIVE
IN-8536-923,IN,8536411000,A-533-923,C-533-923,100.0,50.0,2021-09-30,ACTIVE
IN-8507-924,IN,8507800000,A-533-924,,100.0,0.0,2023-03-21,SUSPENDED
KR-8413-905,KR,8413709100,A-580-905,C-580-905,75.0,10.0,2024-07-11,ACTIVE
CN-8408-944,CN,8408101000,A-570-944,C-570-944,150.0,50.0,2022-06-22,ACTIVE
MX-8708-913,MX,8708999800,A-201-913,,5.0,0.0,2022-08-03,ACTIVE
IN-8536-925,IN,8536101000,A-533-925,,100.0,0.0,2020-07-22,ACTIVE
CN-8501-945,CN,8501102000,A-570-945,C-570-945,300.0,100.0,2020-06-27,ACTIVE
CN-7318-946,CN,7318290000,A-570-946,C-570-946,100.0,50.0,2018-03-02,ACTIVE
CN-8708-947,CN,8708501000,A-570-947,,100.0,0.0,2022-05-19,ACTIVE
IN-8501-926,IN,8501521000,A-533-926,,100.0,0.0,2022-01-08,ACTIVE
CN-8507-948,CN,8507309000,A-570-948,,250.0,0.0,2020-08-06,ACTIVE
VN-8708-907,VN,8708401000,A-552-907,,25.0,0.0,2023-02-03,ACTIVE
IN-8501-927,IN,8501311000,A-533-927,,150.0,0.0,2018-01-21,ACTIVE
IN-8409-928,IN,8409919900,A-533-928,C-533-928,10.0,100.0,2018-01-24,ACTIVE
IN-8409-929,IN,8409914000,A-533-929,C-533-929,100.0,150.0,2019-02-26,ACTIVE
CN-8544-949,CN,8544301000,A-570-949,,300.0,0.0,2020-12-27,ACTIVE
IN-8481-930,IN,8481809000,A-533-930,C-533-930,100.0,5.0,2024-03-21,SUSPENDED
MX-8504-914,MX,8504909500,A-201-914,,25.0,0.0,2018-01-09,ACTIVE
IN-8503-931,IN,8503001000,A-533-931,C-533-931,100.0,100.0,2021-07-30,ACTIVE
CN-8413-950,CN,8413601000,A-570-950,C-570-950,25.0,75.0,2019-11-16,ACTIVE
CN-8483-951,CN,8483509000,A-570-951,C-570-951,25.0,10.0,2023-05-26,ACTIVE
KR-8544-906,KR,8544111000,A-580-906,,75.0,0.0,2023-03-25,ACTIVE
MX-7318-915,MX,7318160000,A-201-915,C-201-915,10.0,5.0,2022-02-10,ACTIVE
CN-8507-952,CN,8507800000,A-570-952,,50.0,0.0,2021-07-21,ACTIVE
CN-8504-953,CN,8504401000,A-570-953,C-570-953,300.0,75.0,2024-02-22,ACTIVE
IN-7318-932,IN,7318290000,A-533-932,C-533-932,150.0,50.0,2023-01-10,ACTIVE
CN-8413-954,CN,8413709100,A-570-954,C-570-954,25.0,25.0,2022-11-27,ACTIVE
CN-8413-955,CN,8413301000,A-570-955,C-570-955,150.0,10.0,2019-08-21,ACTIVE
CN-8413-956,CN,8413309100,A-570-956,,25.0,0.0,2023-05-07,ACTIVE
MX-8481-916,MX,8481101000,A-201-916,C-201-916,50.0,10.0,2024-01-19,ACTIVE
CN-8412-957,CN,8412391000,A-570-957,C-570-957,100.0,25.0,2019-07-06,ACTIVE
MX-7318-917,MX,7318150000,A-201-917,,10.0,0.0,2024-05-29,ACTIVE
CN-8536-958,CN,8536501000,A-570-958,C-570-958,250.0,10.0,2018-04-25,ACTIVE
CN-7318-959,CN,7318210000,A-570-959,C-570-959,100.0,75.0,2023-05-09,ACTIVE
MX-8412-918,MX,8412291000,A-201-918,C-201-918,10.0,10.0,2022-01-25,ACTIVE
CN-8501-960,CN,8501201000,A-570-960,C-570-960,200.0,50.0,2023-06-19,ACTIVE
CN-8414-961,CN,8414599500,A-570-961,,150.0,0.0,2020-12-26,ACTIVE
KR-8481-907,KR,8481201000,A-580-907,,50.0,0.0,2018-02-04,ACTIVE
KR-8408-908,KR,8408102000,A-580-908,,5.0,0.0,2021-09-09,ACTIVE
CN-8544-962,CN,8544421000,A-570-962,C-570-962,250.0,50.0,2023-05-29,ACTIVE
CN-8481-963,CN,8481809000,A-570-963,C-570-963,150.0,10.0,2020-02-29,ACTIVE
IN-8481-933,IN,8481802500,A-533-933,C-533-933,25.0,200.0,2019-04-19,ACTIVE
CN-7326-964,CN,7326908600,A-570-964,C-570-964,50.0,75.0,2022-06-16,ACTIVE
IN-7318-934,IN,7318230000,A-533-934,,25.0,0.0,2023-08-25,ACTIVE
IN-8708-935,IN,8708501000,A-533-935,C-533-935,150.0,5.0,2024-08-18,ACTIVE
CN-7318-965,CN,7318240000,A-570-965,,300.0,0.0,2020-03-08,ACTIVE
VN-8483-908,VN,8483509000,A-552-908,C-552-908,5.0,10.0,2023-07-13,ACTIVE
VN-8409-909,VN,8409911000,A-552-909,C-552-909,10.0,5.0,2021-06-30,ACTIVE
CN-8414-966,CN,8414599500,A-570-966,C-570-966,50.0,10.0,2018-07-07,ACTIVE
CN-8414-967,CN,8414909000,A-570-967,C-570-967,150.0,50.0,2021-07-04,ACTIVE
CN-8708-968,CN,8708291000,A-570-968,C-570-968,50.0,75.0,2019-12-28,ACTIVE
VN-8708-910,VN,8708941000,A-552-910,C-552-910,10.0,10.0,2023-09-07,SUSPENDED
CN-7318-969,CN,7318110000,A-570-969,C-570-969,100.0,50.0,2022-09-03,ACTIVE
CN-8536-970,CN,8536699000,A-570-970,C-570-970,150.0,25.0,2024-09-15,ACTIVE
IN-8708-936,IN,8708911000,A-533-936,,10.0,0.0,2018-05-31,ACTIVE
IN-8408-937,IN,8408109000,A-533-937,C-533-937,25.0,10.0,2018-04-06,ACTIVE
CN-8503-971,CN,8503001000,A-570-971,C-570-971,25.0,25.0,2018-07-24,ACTIVE
IN-8414-938,IN,8414599500,A-533-938,,25.0,0.0,2018-08-28,ACTIVE
MX-8708-919,MX,8708999700,A-201-919,C-201-919,5.0,25.0,2018-12-22,ACTIVE
MX-8483-920,MX,8483101000,A-201-920,,25.0,0.0,2022-07-01,ACTIVE
CN-8412-972,CN,8412311000,A-570-972,C-570-972,200.0,50.0,2023-11-29,SUSPENDED
MX-7318-921,MX,7318240000,A-201-921,C-201-921,75.0,10.0,2019-05-28,ACTIVE
IN-8413-939,IN,8413309100,A-533-939,,10.0,0.0,2020-08-17,ACTIVE
MX-7318-922,MX,7318230000,A-201-922,C-201-922,25.0,5.0,2024-07-10,ACTIVE
VN-8409-911,VN,8409999100,A-552-911,,25.0,0.0,2024-01-30,ACTIVE
MX-8501-923,MX,8501201000,A-201-923,C-201-923,25.0,5.0,2019-02-21,ACTIVE
IN-7326-940,IN,7326190000,A-533-940,C-533-940,25.0,100.0,2022-02-17,SUSPENDED
MX-7318-924,MX,7318130000,A-201-924,C-201-924,5.0,10.0,2018-01-11,ACTIVE
KR-8413-909,KR,8413819000,A-580-909,C-580-909,10.0,5.0,2024-05-29,ACTIVE
CN-8708-973,CN,8708999500,A-570-973,C-570-973,50.0,75.0,2021-09-16,SUSPENDED
IN-8708-941,IN,8708501000,A-533-941,C-533-941,100.0,150.0,2018-10-17,ACTIVE
CN-7318-974,CN,7318120000,A-570-974,C-570-974,50.0,50.0,2019-07-30,ACTIVE
CN-8414-975,CN,8414599500,A-570-975,,50.0,0.0,2024-04-15,ACTIVE
CN-8409-976,CN,8409919900,A-570-976,C-570-976,25.0,25.0,2020-12-03,ACTIVE
IN-8507-942,IN,8507309000,A-533-942,,25.0,0.0,2020-09-17,ACTIVE
CN-8408-977,CN,8408209000,A-570-977,C-570-977,300.0,75.0,2022-12-21,ACTIVE
CN-8413-978,CN,8413819000,A-570-978,C-570-978,25.0,25.0,2021-12-10,ACTIVE
CN-7318-979,CN,7318160000,A-570-979,,100.0,0.0,2020-09-27,SUSPENDED
VN-8413-912,VN,8413709100,A-552-912,C-552-912,10.0,10.0,2021-02-10,ACTIVE
IN-8544-943,IN,8544301000,A-533-943,C-533-943,25.0,25.0,2021-10-25,SUSPENDED
KR-7326-910,KR,7326110000,A-580-910,C-580-910,75.0,10.0,2019-07-17,ACTIVE
CN-8708-980,CN,8708999700,A-570-980,C-570-980,200.0,10.0,2019-01-30,SUSPENDED
MX-7318-925,MX,7318110000,A-201-925,,75.0,0.0,2021-12-02,SUSPENDED
CN-8501-981,CN,8501201000,A-570-981,,50.0,0.0,2023-07-28,ACTIVE
MX-8409-926,MX,8409911000,A-201-926,C-201-926,25.0,10.0,2021-05-12,ACTIVE
CN-8414-982,CN,8414308000,A-570-982,C-570-982,150.0,75.0,2022-05-31,ACTIVE
IN-8503-944,IN,8503001000,A-533-944,C-533-944,150.0,50.0,2022-04-08,ACTIVE
IN-8481-945,IN,8481301000,A-533-945,C-533-945,50.0,100.0,2022-06-23,ACTIVE
CN-7326-983,CN,7326200000,A-570-983,,300.0,0.0,2023-03-14,ACTIVE
CN-8414-984,CN,8414909000,A-570-984,C-570-984,50.0,25.0,2024-08-04,ACTIVE
MX-8481-927,MX,8481201000,A-201-927,C-201-927,25.0,25.0,2021-09-19,SUSPENDED
CN-8503-985,CN,8503004500,A-570-985,,150.0,0.0,2020-05-29,ACTIVE
IN-7318-946,IN,7318210000,A-533-946,C-533-946,100.0,25.0,2018-01-22,SUSPENDED
CN-8412-986,CN,8412391000,A-570-986,C-570-986,150.0,100.0,2020-06-23,ACTIVE
CN-8504-987,CN,8504401000,A-570-987,C-570-987,100.0,50.0,2024-08-01,ACTIVE
CN-8708-988,CN,8708301000,A-570-988,C-570-988,100.0,100.0,2018-02-11,ACTIVE
VN-8483-913,VN,8483401000,A-552-913,C-552-913,75.0,5.0,2018-04-14,ACTIVE
CN-8501-989,CN,8501102000,A-570-989,C-570-989,200.0,100.0,2019-08-04,ACTIVE
IN-8708-947,IN,8708999100,A-533-947,C-533-947,150.0,100.0,2018-07-06,ACTIVE
KR-8507-911,KR,8507500000,A-580-911,,25.0,0.0,2023-03-06,ACTIVE
IN-8536-948,IN,8536411000,A-533-948,,100.0,0.0,2019-03-04,ACTIVE
KR-8708-912,KR,8708801000,A-580-912,,75.0,0.0,2019-11-28,ACTIVE
CN-7326-990,CN,7326901000,A-570-990,C-570-990,50.0,25.0,2018-06-20,ACTIVE
IN-8481-949,IN,8481401000,A-533-949,C-533-949,10.0,150.0,2021-11-30,ACTIVE
CN-8412-991,CN,8412211000,A-570-991,C-570-991,50.0,100.0,2018-11-11,ACTIVE
CN-8507-992,CN,8507201000,A-570-992,C-570-992,25.0,10.0,2019-01-28,ACTIVE
CN-8536-993,CN,8536101000,A-570-993,C-570-993,25.0,25.0,2022-02-15,ACTIVE
IN-8507-950,IN,8507800000,A-533-950,C-533-950,10.0,150.0,2020-01-19,ACTIVE
